Visa_Category,Time_Period,Percentage
Higher Educ.,Jul-19,72.74939172749392
Higher Educ.,Jul-22,70.51390058972198
Higher Educ.,Jul-21,60.0
Higher Educ.,Jul-23,76.01033120632027
Independent ELICOS(b),Jul-23,3.122151321786691
Independent ELICOS(b),Jul-19,2.113312478275982
Independent ELICOS(b),Jul-22,3.383880932322381
Independent ELICOS(b),Jul-21,0.0
Postgraduate Research,Jul-23,2.4536615010635066
Postgraduate Research,Jul-21,24.0
Postgraduate Research,Jul-22,2.822240943555181
Postgraduate Research,Jul-19,2.467848453249913
Schools,Jul-19,8.091762252346193
Schools,Jul-22,3.6787419264251615
Schools,Jul-23,4.14767547857794
Schools,Jul-21,2.0
Students Other,Jul-22,9.196854816062904
Students Other,Jul-21,2.0
Students Other,Jul-19,5.978449774070213
Students Other,Jul-23,5.530233971437253
Vocational Educ. & Training,Jul-21,12.0
Vocational Educ. & Training,Jul-23,8.735946520814341
Vocational Educ. & Training,Jul-19,8.599235314563781
Vocational Educ. & Training,Jul-22,10.404380791912384
