MonthYear,Visiting friends/relatives,Holiday,Business,Education,Employment,Conference,Other
Jun-19,2.79,4.42,0.68,0.61,0.21,0.31,0.31
Jul-19,2.8,4.44,0.68,0.6,0.21,0.31,0.31
Aug-19,2.81,4.46,0.68,0.61,0.21,0.32,0.31
Sep-19,2.82,4.46,0.68,0.61,0.21,0.32,0.31
Oct-19,2.82,4.47,0.68,0.62,0.21,0.32,0.32
Nov-19,2.83,4.47,0.68,0.62,0.22,0.33,0.31
Dec-19,2.85,4.48,0.68,0.62,0.22,0.33,0.3
Jan-20,2.86,4.5,0.67,0.62,0.22,0.33,0.31
Feb-20,2.84,4.34,0.66,0.57,0.22,0.32,0.3
Mar-20,2.71,4.07,0.61,0.56,0.21,0.3,0.29
Apr-20,2.47,3.75,0.56,0.53,0.2,0.28,0.27
May-20,2.28,3.43,0.51,0.5,0.18,0.25,0.25
Jun-20,2.08,3.12,0.45,0.47,0.17,0.23,0.23
Jul-20,1.87,2.77,0.4,0.36,0.15,0.2,0.2
Aug-20,1.66,2.37,0.34,0.31,0.14,0.16,0.18
Sep-20,1.45,2.06,0.29,0.27,0.12,0.13,0.15
Oct-20,1.23,1.7,0.22,0.23,0.1,0.1,0.12
Nov-20,0.99,1.3,0.16,0.21,0.08,0.06,0.1
Dec-20,0.55,0.79,0.12,0.18,0.07,0.04,0.08
Jan-21,0.34,0.41,0.08,0.11,0.04,0.03,0.05
Feb-21,0.14,0.13,0.03,0.04,0.02,0.01,0.03
Mar-21,0.03,0,0.01,0,0.01,0,0.01
Apr-21,0.04,0,0.01,0,0.01,0,0.02
May-21,0.06,0.01,0.01,0,0.01,0,0.02
Jun-21,0.08,0.01,0.02,0,0.02,0,0.02
Jul-21,0.09,0.02,0.02,0,0.02,0,0.02
Aug-21,0.09,0.02,0.02,0,0.02,0,0.02
Sep-21,0.09,0.02,0.02,0,0.02,0,0.02
Oct-21,0.09,0.02,0.02,0,0.02,0,0.02
Nov-21,0.1,0.02,0.02,0,0.02,0,0.02
Dec-21,0.15,0.02,0.02,0.01,0.02,0,0.02
Jan-22,0.18,0.03,0.02,0.02,0.03,0,0.03
Feb-22,0.23,0.03,0.03,0.03,0.03,0,0.03
Mar-22,0.33,0.05,0.04,0.05,0.04,0.01,0.03
Apr-22,0.46,0.09,0.05,0.05,0.04,0.01,0.04
May-22,0.55,0.14,0.07,0.07,0.05,0.02,0.05
Jun-22,0.67,0.21,0.09,0.08,0.06,0.02,0.05
Jul-22,0.8,0.3,0.12,0.12,0.07,0.03,0.06
Aug-22,0.94,0.41,0.14,0.14,0.08,0.05,0.07
Sep-22,1.1,0.52,0.17,0.16,0.1,0.07,0.09
Oct-22,1.27,0.68,0.21,0.17,0.12,0.09,0.11
Nov-22,1.47,0.85,0.25,0.19,0.14,0.11,0.12
Dec-22,1.77,1.06,0.27,0.2,0.15,0.12,0.13
Jan-23,1.87,1.21,0.29,0.22,0.17,0.13,0.15
Feb-23,2.03,1.42,0.32,0.28,0.19,0.15,0.17
Mar-23,2.16,1.63,0.35,0.3,0.21,0.16,0.18
Apr-23,2.24,1.8,0.37,0.31,0.22,0.17,0.19
May-23,2.31,1.95,0.38,0.32,0.23,0.19,0.2
Jun-23,2.38,2.09,0.4,0.33,0.24,0.2,0.21
