Year,Port_Country,Total_Air_Routes,Total_Flights,Service_Region
2003,Argentina,1,42,S America
2003,Austria,1,122,Europe
2003,Bahrain,1,62,Middle East
2003,Brunei,1,168,SE Asia
2003,Canada,1,139,N America
2003,Chile,1,54,S America
2003,China,3,586,NE Asia
2003,Fiji,2,343,N America
2003,France,1,48,Europe
2003,Germany,1,124,Europe
2003,Guam,1,54,NE Asia
2003,Hong Kong (SAR),1,1140,NE Asia
2003,Indonesia,2,933,SE Asia
2003,Italy,1,6,Europe
2003,Japan,4,1652,NE Asia
2003,Malaysia,3,1002,SE Asia
2003,Mauritius,1,40,Africa
2003,Nauru,1,50,Islands
2003,New Caledonia,1,167,Islands
2003,New Zealand,7,5531,S America
2003,Niue,1,5,Islands
2003,Papua New Guinea,1,312,Islands
2003,Philippines,1,182,SE Asia
2003,Singapore,1,2825,SE Asia
2003,Solomon Is.,1,44,Islands
2003,South Africa,1,178,Africa
2003,South Korea,1,280,NE Asia
2003,Taiwan,1,178,NE Asia
2003,Thailand,2,902,SE Asia
2003,Tonga,1,54,Islands
2003,United Arab Emirates,1,428,Middle East
2003,United Kingdom,1,798,Europe
2003,United States of America,5,1613,N America
2003,Vanuatu,1,145,Islands
2003,Vietnam,2,208,SE Asia
2003,Western Samoa,1,39,Islands
2004,Argentina,1,80,S America
2004,Austria,1,288,Europe
2004,Bahrain,1,243,Middle East
2004,Brunei,1,367,SE Asia
2004,Canada,1,288,N America
2004,Chile,1,114,S America
2004,China,3,1385,NE Asia
2004,Fiji,2,800,Islands
2004,France,1,79,Europe
2004,Germany,1,245,Europe
2004,Guam,1,102,Islands
2004,Hong Kong (SAR),1,2849,NE Asia
2004,India,1,54,S Asia
2004,Indonesia,3,1989,SE Asia
2004,Japan,5,3618,NE Asia
2004,Malaysia,3,1954,SE Asia
2004,Mauritius,1,109,Africa
2004,Nauru,1,102,Islands
2004,New Caledonia,1,345,Islands
2004,New Zealand,7,12538,S America
2004,Niue,1,3,Islands
2004,Papua New Guinea,1,599,Islands
2004,Philippines,1,346,SE Asia
2004,Singapore,1,6130,SE Asia
2004,Solomon Is.,1,160,Islands
2004,South Africa,1,322,Africa
2004,South Korea,1,576,NE Asia
2004,Taiwan,1,398,NE Asia
2004,Thailand,2,1871,SE Asia
2004,Tonga,1,66,Islands
2004,United Arab Emirates,1,1084,Middle East
2004,United Kingdom,1,1764,Europe
2004,United States of America,7,3573,N America
2004,Vanuatu,1,334,Islands
2004,Vietnam,2,480,SE Asia
2004,Western Samoa,1,66,Islands
2005,Argentina,1,112,S America
2005,Austria,1,310,Europe
2005,Bahrain,1,244,Middle East
2005,Brunei,1,416,SE Asia
2005,Canada,2,351,N America
2005,Chile,1,147,S America
2005,China,3,1605,NE Asia
2005,Cook Islands,1,24,Islands
2005,Fiji,2,1041,N America
2005,Germany,1,245,Europe
2005,Guam,1,95,Islands
2005,Hong Kong (SAR),1,3168,NE Asia
2005,India,1,104,S Asia
2005,Indonesia,3,1999,SE Asia
2005,Japan,5,3265,NE Asia
2005,Malaysia,3,1947,SE Asia
2005,Mauritius,1,115,Africa
2005,Nauru,1,68,Islands
2005,New Caledonia,1,348,Islands
2005,New Zealand,7,12927,S America
2005,Papua New Guinea,1,649,Islands
2005,Philippines,1,377,SE Asia
2005,Singapore,1,6584,SE Asia
2005,Solomon Is.,1,140,Islands
2005,South Africa,1,339,Africa
2005,South Korea,1,574,NE Asia
2005,Tahiti,1,34,Islands
2005,Taiwan,1,470,NE Asia
2005,Thailand,2,2032,SE Asia
2005,Tonga,1,67,Islands
2005,United Arab Emirates,1,1403,Middle East
2005,United Kingdom,1,2124,Europe
2005,United States of America,6,3678,N America
2005,Vanuatu,1,345,Islands
2005,Vietnam,2,482,SE Asia
2005,Western Samoa,1,77,Islands
2006,Argentina,1,316,S America
2006,Austria,1,933,Europe
2006,Bahrain,1,725,Middle East
2006,Brunei,1,1325,SE Asia
2006,Canada,2,980,N America
2006,Chile,1,527,S America
2006,China,3,5017,NE Asia
2006,Cook Islands,1,58,Islands
2006,Fiji,2,3237,N America
2006,Germany,1,735,Europe
2006,Guam,1,260,Islands
2006,Hong Kong (SAR),1,9376,NE Asia
2006,India,1,522,S Asia
2006,Indonesia,3,4115,SE Asia
2006,Japan,5,9271,NE Asia
2006,Malaysia,2,5593,SE Asia
2006,Marshall Islands,1,22,Islands
2006,Mauritius,1,390,Africa
2006,Nauru,1,122,Islands
2006,New Caledonia,1,1054,N America
2006,New Zealand,7,37474,S America
2006,Papua New Guinea,1,2565,Islands
2006,Philippines,1,1141,SE Asia
2006,Singapore,1,19210,SE Asia
2006,Solomon Is.,1,373,Islands
2006,South Africa,1,1070,Africa
2006,South Korea,1,1830,NE Asia
2006,Tahiti,1,278,Islands
2006,Taiwan,1,1078,NE Asia
2006,Thailand,2,5791,SE Asia
2006,Tonga,1,209,Islands
2006,United Arab Emirates,1,4831,Middle East
2006,United Kingdom,1,5275,Europe
2006,United States of America,5,11472,N America
2006,Vanuatu,1,1044,Islands
2006,Vietnam,2,1503,SE Asia
2006,Western Samoa,1,314,Islands
2007,Argentina,1,324,S America
2007,Austria,1,212,Europe
2007,Bahrain,1,258,Middle East
2007,Brunei,1,1344,SE Asia
2007,Canada,2,910,N America
2007,Chile,1,618,S America
2007,China,3,4975,NE Asia
2007,Cook Islands,1,79,Islands
2007,Fiji,2,3067,N America
2007,Germany,1,733,Europe
2007,Guam,1,210,Islands
2007,Hong Kong (SAR),1,9819,NE Asia
2007,India,1,476,S Asia
2007,Indonesia,3,4425,SE Asia
2007,Japan,4,8838,NE Asia
2007,Malaysia,1,5320,SE Asia
2007,Marshall Islands,1,48,Islands
2007,Mauritius,1,416,Africa
2007,Nauru,1,175,Islands
2007,New Caledonia,1,1052,N America
2007,New Zealand,7,36420,S America
2007,Papua New Guinea,1,2881,Islands
2007,Philippines,1,1194,SE Asia
2007,Singapore,1,19140,SE Asia
2007,Solomon Is.,1,669,Islands
2007,South Africa,1,1069,Africa
2007,South Korea,1,2033,NE Asia
2007,Tahiti,1,229,N America
2007,Taiwan,1,1004,NE Asia
2007,Thailand,2,7211,SE Asia
2007,Tonga,1,210,Islands
2007,United Arab Emirates,2,5638,Middle East
2007,United Kingdom,1,5107,Europe
2007,United States of America,5,12223,N America
2007,Vanuatu,2,1173,Islands
2007,Vietnam,2,1749,SE Asia
2007,Western Samoa,1,320,Islands
2008,Argentina,1,426,S America
2008,Brunei,1,1396,SE Asia
2008,Canada,2,1461,N America
2008,Chile,1,685,S America
2008,China,3,4681,NE Asia
2008,Cook Islands,1,86,Islands
2008,Fiji,1,3464,N America
2008,Germany,1,737,Europe
2008,Guam,1,218,Islands
2008,Hong Kong (SAR),1,11437,NE Asia
2008,India,2,331,S Asia
2008,Indonesia,3,5772,SE Asia
2008,Italy,1,12,Europe
2008,Japan,3,8028,NE Asia
2008,Kiribati,1,60,Islands
2008,Malaysia,2,5796,SE Asia
2008,Mauritius,1,424,Africa
2008,Nauru,1,187,Islands
2008,New Caledonia,1,1069,N America
2008,New Zealand,7,37803,S America
2008,Papua New Guinea,1,3330,Islands
2008,Philippines,1,1612,SE Asia
2008,Singapore,1,21219,SE Asia
2008,Solomon Is.,1,869,Islands
2008,South Africa,1,1065,Africa
2008,South Korea,1,2213,NE Asia
2008,Tahiti,1,202,Islands
2008,Taiwan,1,1064,NE Asia
2008,Thailand,2,7743,SE Asia
2008,Tonga,1,208,Islands
2008,United Arab Emirates,2,6240,Middle East
2008,United Kingdom,2,5105,Europe
2008,United States of America,5,11027,N America
2008,Vanuatu,2,1388,Islands
2008,Vietnam,2,2028,SE Asia
2008,Western Samoa,1,331,Islands
2009,Argentina,1,704,S America
2009,Brunei,1,1261,SE Asia
2009,Canada,2,1373,N America
2009,Chile,1,649,S America
2009,China,3,4567,NE Asia
2009,Cook Islands,1,43,Islands
2009,Fiji,1,3640,N America
2009,France,1,152,Europe
2009,Germany,1,737,Europe
2009,Guam,1,379,Islands
2009,Hong Kong (SAR),1,11137,NE Asia
2009,India,1,316,S Asia
2009,Indonesia,3,9415,SE Asia
2009,Japan,2,4819,NE Asia
2009,Kiribati,1,18,Islands
2009,Malaysia,1,6568,SE Asia
2009,Mauritius,1,252,Africa
2009,Nauru,1,170,Islands
2009,New Caledonia,1,1163,N America
2009,New Zealand,7,39673,S America
2009,Papua New Guinea,1,3586,Islands
2009,Philippines,1,1891,SE Asia
2009,Qatar,1,22,Middle East
2009,Reunion,1,152,Europe
2009,Singapore,1,21344,SE Asia
2009,Solomon Is.,1,616,Islands
2009,South Africa,1,1213,Africa
2009,South Korea,1,2145,NE Asia
2009,Tahiti,1,38,Islands
2009,Taiwan,1,1248,NE Asia
2009,Thailand,2,7962,SE Asia
2009,Tonga,1,209,Islands
2009,United Arab Emirates,2,8478,Middle East
2009,United Kingdom,2,4888,Europe
2009,United States of America,5,11255,N America
2009,Vanuatu,2,1738,Islands
2009,Vietnam,2,2466,SE Asia
2009,Western Samoa,1,410,Islands
2010,Argentina,1,706,S America
2010,Brunei,1,1116,SE Asia
2010,Canada,2,1449,N America
2010,Chile,1,592,S America
2010,China,3,5214,NE Asia
2010,Cook Islands,1,34,New Zealand
2010,Fiji,1,4005,N America
2010,France,1,174,Europe
2010,Germany,1,727,Europe
2010,Guam,1,391,Islands
2010,Hong Kong (SAR),1,11253,NE Asia
2010,India,1,313,S Asia
2010,Indonesia,2,12003,SE Asia
2010,Japan,2,4971,NE Asia
2010,Kiribati,1,109,Islands
2010,Malaysia,1,8100,SE Asia
2010,Mauritius,1,277,Africa
2010,Nauru,1,109,Islands
2010,New Caledonia,1,1193,N America
2010,New Zealand,7,40469,S America
2010,Papua New Guinea,1,3775,Islands
2010,Philippines,1,1754,SE Asia
2010,Qatar,1,729,Middle East
2010,Reunion,1,209,Europe
2010,Singapore,1,21760,SE Asia
2010,Solomon Is.,1,635,Islands
2010,South Africa,1,1503,Africa
2010,South Korea,1,2172,NE Asia
2010,Taiwan,1,1057,NE Asia
2010,Thailand,2,8424,SE Asia
2010,Tonga,1,206,Islands
2010,United Arab Emirates,2,9357,Middle East
2010,United Kingdom,2,4713,Europe
2010,United States of America,5,11769,N America
2010,Vanuatu,2,1559,Islands
2010,Vietnam,2,2731,SE Asia
2010,Western Samoa,1,403,Islands
2011,Argentina,1,612,S America
2011,Brunei,1,1152,SE Asia
2011,Canada,2,1456,N America
2011,Chile,1,627,S America
2011,China,5,7683,NE Asia
2011,Cook Islands,1,54,Islands
2011,Fiji,1,4526,N America
2011,France,1,191,Europe
2011,Germany,1,725,Europe
2011,Guam,1,322,Islands
2011,Hong Kong (SAR),1,11888,NE Asia
2011,India,1,307,S Asia
2011,Indonesia,2,14962,SE Asia
2011,Japan,2,3845,NE Asia
2011,Kiribati,1,18,Islands
2011,Malaysia,2,8354,SE Asia
2011,Mauritius,1,342,Africa
2011,Nauru,1,105,Islands
2011,New Caledonia,1,1223,N America
2011,New Zealand,7,40667,S America
2011,Papua New Guinea,1,4336,Islands
2011,Philippines,1,2189,SE Asia
2011,Qatar,1,730,Middle East
2011,Reunion,1,209,Europe
2011,Singapore,1,21194,SE Asia
2011,Solomon Is.,1,678,Islands
2011,South Africa,1,1445,Africa
2011,South Korea,1,2264,NE Asia
2011,Tahiti,1,12,S America
2011,Taiwan,1,924,NE Asia
2011,Thailand,2,8429,SE Asia
2011,Tonga,1,204,Islands
2011,United Arab Emirates,2,9208,Middle East
2011,United Kingdom,1,4960,Europe
2011,United States of America,6,12589,N America
2011,Vanuatu,2,1485,Islands
2011,Vietnam,2,3137,SE Asia
2011,Western Samoa,1,413,Islands
2012,Argentina,1,382,S America
2012,Brunei,1,659,SE Asia
2012,Canada,2,1473,N America
2012,Chile,1,859,S America
2012,China,6,9232,NE Asia
2012,Cook Islands,1,104,Islands
2012,Fiji,1,5125,N America
2012,France,1,58,Europe
2012,Germany,1,717,Europe
2012,Guam,1,210,Islands
2012,Hong Kong (SAR),1,11909,NE Asia
2012,India,1,103,S Asia
2012,Indonesia,2,15158,SE Asia
2012,Japan,2,4521,NE Asia
2012,Malaysia,2,8714,SE Asia
2012,Mauritius,1,262,Africa
2012,Nauru,1,123,Islands
2012,New Caledonia,1,1107,N America
2012,New Zealand,7,40415,SE Asia
2012,Papua New Guinea,1,4254,Islands
2012,Philippines,1,2091,SE Asia
2012,Qatar,1,924,Middle East
2012,Reunion,1,108,Europe
2012,Singapore,1,23421,SE Asia
2012,Solomon Is.,1,633,Islands
2012,South Africa,1,1400,Africa
2012,South Korea,1,2211,NE Asia
2012,Tahiti,1,2,Islands
2012,Taiwan,1,943,NE Asia
2012,Thailand,2,6822,SE Asia
2012,Tonga,1,206,Islands
2012,United Arab Emirates,2,9949,Middle East
2012,United Kingdom,1,3351,Europe
2012,United States of America,6,11769,N America
2012,Vanuatu,2,1534,Islands
2012,Vietnam,2,2870,SE Asia
2012,Western Samoa,1,410,Islands
2013,Argentina,1,316,S America
2013,Brunei,1,729,SE Asia
2013,Canada,2,1484,N America
