Year,Australian_City,Service_Region,All_Flights,Total_All_Flights,Percentage
2003,Adelaide,NE Asia,34,20454,0.16622665493302044
2003,Adelaide,SE Asia,225,20454,1.1000293341155765
2003,Brisbane,Europe,4,20454,0.01955607705094358
2003,Brisbane,Islands,394,20454,1.9262735895179426
2003,Brisbane,Middle East,124,20454,0.6062383885792509
2003,Brisbane,N America,247,20454,1.2075877578957661
2003,Brisbane,NE Asia,525,20454,2.5667351129363447
2003,Brisbane,New Zealand,1012,20454,4.947687493888726
2003,Brisbane,SE Asia,673,20454,3.290309963821257
2003,Cairns,Islands,237,20454,1.158697565268407
2003,Cairns,NE Asia,583,20454,2.850298230175027
2003,Cairns,New Zealand,36,20454,0.1760046934584922
2003,Cairns,SE Asia,76,20454,0.371565463967928
2003,Christmas Island,SE Asia,16,20454,0.07822430820377432
2003,Darwin,Europe,2,20454,0.00977803852547179
2003,Darwin,NE Asia,2,20454,0.00977803852547179
2003,Darwin,SE Asia,163,20454,0.7969101398259509
2003,Gold Coast,NE Asia,118,20454,0.5769042730028356
2003,Gold Coast,New Zealand,203,20454,0.9924709103353867
2003,Melbourne,Africa,20,20454,0.09778038525471791
2003,Melbourne,Europe,608,20454,2.972523711743424
2003,Melbourne,Islands,82,20454,0.40089957954434335
2003,Melbourne,Middle East,244,20454,1.1929207001075586
2003,Melbourne,N America,389,20454,1.9018284932042633
2003,Melbourne,NE Asia,657,20454,3.212085655617483
2003,Melbourne,New Zealand,1206,20454,5.896157230859489
2003,Melbourne,SE Asia,1031,20454,5.040578859880708
2003,Norfolk Island,New Zealand,34,20454,0.16622665493302044
2003,Perth,Africa,114,20454,0.5573481959518921
2003,Perth,Europe,99,20454,0.48401290701085364
2003,Perth,Middle East,122,20454,0.5964603500537793
2003,Perth,NE Asia,105,20454,0.5133470225872689
2003,Perth,New Zealand,69,20454,0.33734232912877676
2003,Perth,SE Asia,1139,20454,5.568592940256185
2003,Sydney,Africa,84,20454,0.41067761806981523
2003,Sydney,Europe,1481,20454,7.240637528111861
2003,Sydney,Islands,540,20454,2.6400704018773835
2003,Sydney,Middle East,308,20454,1.5058179329226558
2003,Sydney,N America,1337,20454,6.536618754277892
2003,Sydney,NE Asia,1814,20454,8.868680942602914
2003,Sydney,New Zealand,2612,20454,12.770118314266158
2003,Sydney,S America,192,20454,0.9386916984452919
2003,Sydney,SE Asia,1493,20454,7.2993057592646915
2004,Adelaide,NE Asia,75,45321,0.1654861984510492
2004,Adelaide,New Zealand,16,45321,0.03530372233622383
2004,Adelaide,SE Asia,525,45321,1.1584033891573442
2004,Brisbane,Islands,956,45321,2.1093974095893735
2004,Brisbane,Middle East,488,45321,1.0767635312548267
2004,Brisbane,N America,552,45321,1.217978420599722
2004,Brisbane,NE Asia,1293,45321,2.8529820612960877
2004,Brisbane,New Zealand,2525,45321,5.571368681185322
2004,Brisbane,SE Asia,1396,45321,3.080249773835529
2004,Cairns,Islands,434,45321,0.9576134683700712
2004,Cairns,NE Asia,1335,45321,2.9456543324286755
2004,Cairns,New Zealand,78,45321,0.17210564638909115
2004,Cairns,SE Asia,168,45321,0.37068908453035015
2004,Canberra,Islands,8,45321,0.017651861168111915
2004,Darwin,NE Asia,1,45321,0.0022064826460139893
2004,Darwin,SE Asia,451,45321,0.9951236733523092
2004,Gold Coast,NE Asia,245,45321,0.5405882482734273
2004,Gold Coast,New Zealand,412,45321,0.9090708501577635
2004,Melbourne,Africa,42,45321,0.09267227113258754
2004,Melbourne,Europe,1339,45321,2.9544802630127314
2004,Melbourne,Islands,235,45321,0.5185234218132874
2004,Melbourne,Middle East,602,45321,1.3283025529004213
2004,Melbourne,N America,771,45321,1.7011981200767856
2004,Melbourne,NE Asia,1651,45321,3.642902848569096
2004,Melbourne,New Zealand,3000,45321,6.619447938041967
2004,Melbourne,SE Asia,2163,45321,4.772621963328259
2004,Norfolk Island,New Zealand,104,45321,0.22947419518545487
2004,Perth,Africa,213,45321,0.46998080360097966
2004,Perth,Europe,212,45321,0.4677743209549657
2004,Perth,Middle East,242,45321,0.5339688003353853
2004,Perth,NE Asia,290,45321,0.6398799673440568
2004,Perth,New Zealand,172,45321,0.37951501511440616
2004,Perth,SE Asia,2251,45321,4.9667924361774896
2004,Sydney,Africa,176,45321,0.38834094569846206
2004,Sydney,Europe,3200,45321,7.060744467244764
2004,Sydney,Islands,966,45321,2.1314622360495137
2004,Sydney,Middle East,726,45321,1.6019064010061563
2004,Sydney,N America,2953,45321,6.51574325367931
2004,Sydney,NE Asia,3861,45321,8.519229496260012
2004,Sydney,New Zealand,5600,45321,12.356302817678339
2004,Sydney,S America,388,45321,0.8561152666534279
2004,Sydney,S Asia,54,45321,0.11915006288475542
2004,Sydney,SE Asia,3152,45321,6.954833300236094
2005,Adelaide,Europe,2,47906,0.004174842399699411
2005,Adelaide,NE Asia,70,47906,0.1461194839894794
2005,Adelaide,New Zealand,104,47906,0.21709180478436937
2005,Adelaide,SE Asia,510,47906,1.0645848119233499
2005,Brisbane,Islands,1079,47906,2.2523274746378323
2005,Brisbane,Middle East,488,47906,1.0186615455266563
2005,Brisbane,N America,616,47906,1.2858514591074188
2005,Brisbane,NE Asia,1206,47906,2.517429967018745
2005,Brisbane,New Zealand,2802,47906,5.848954201978875
2005,Brisbane,SE Asia,1561,47906,3.2584644929653903
2005,Cairns,Islands,465,47906,0.9706508579301132
2005,Cairns,NE Asia,1380,47906,2.880641255792594
2005,Cairns,New Zealand,92,47906,0.1920427503861729
2005,Cairns,SE Asia,156,47906,0.3256377071765541
2005,Darwin,Europe,2,47906,0.004174842399699411
2005,Darwin,NE Asia,1,47906,0.0020874211998497057
2005,Darwin,SE Asia,495,47906,1.0332734939256043
2005,Gold Coast,NE Asia,242,47906,0.5051559303636288
2005,Gold Coast,New Zealand,654,47906,1.3651734647017075
2005,Melbourne,Africa,39,47906,0.08140942679413853
2005,Melbourne,Europe,1389,47906,2.899428046591241
2005,Melbourne,Islands,292,47906,0.609526990356114
2005,Melbourne,Middle East,732,47906,1.5279923182899846
2005,Melbourne,N America,773,47906,1.6135765874838226
2005,Melbourne,NE Asia,1523,47906,3.179142487371102
2005,Melbourne,New Zealand,2877,47906,6.005510791967604
2005,Melbourne,SE Asia,2288,47906,4.776019705256126
2005,Norfolk Island,New Zealand,68,47906,0.14194464158977999
2005,Perth,Africa,232,47906,0.48428171836513173
2005,Perth,Europe,212,47906,0.4425332943681376
2005,Perth,Middle East,243,47906,0.5072433515634786
2005,Perth,NE Asia,337,47906,0.7034609443493508
2005,Perth,New Zealand,204,47906,0.42583392476933996
2005,Perth,SE Asia,2552,47906,5.3270989020164485
2005,Sydney,Africa,183,47906,0.38199807957249615
2005,Sydney,Europe,3752,47906,7.832004341836097
2005,Sydney,Islands,1070,47906,2.233540683839185
2005,Sydney,Middle East,1100,47906,2.296163319834676
2005,Sydney,N America,2995,47906,6.251826493549868
2005,Sydney,NE Asia,3964,47906,8.274537636204233
2005,Sydney,New Zealand,5494,47906,11.468292071974282
2005,Sydney,S America,518,47906,1.0812841815221474
2005,Sydney,S Asia,104,47906,0.21709180478436937
2005,Sydney,SE Asia,3040,47906,6.345760447543106
2006,Adelaide,Europe,2,140036,0.001428204176069011
2006,Adelaide,N America,2,140036,0.001428204176069011
2006,Adelaide,NE Asia,333,140036,0.23779599531549028
2006,Adelaide,New Zealand,544,140036,0.38847153589077094
2006,Adelaide,S Asia,1,140036,0.0007141020880345055
2006,Adelaide,SE Asia,1519,140036,1.0847210717244138
2006,Brisbane,Islands,3418,140036,2.4408009369019394
2006,Brisbane,Middle East,1460,140036,1.042589048530378
2006,Brisbane,N America,643,140036,0.45916764260618703
2006,Brisbane,NE Asia,3985,140036,2.8456968208175044
2006,Brisbane,New Zealand,9381,140036,6.698991687851695
2006,Brisbane,SE Asia,4345,140036,3.1027735725099257
2006,Cairns,Islands,1845,140036,1.3175183524236624
2006,Cairns,NE Asia,3609,140036,2.57719443571653
2006,Cairns,New Zealand,338,140036,0.24136650575566285
2006,Cairns,SE Asia,538,140036,0.38418692336256394
2006,Darwin,Europe,4,140036,0.002856408352138022
2006,Darwin,NE Asia,3,140036,0.002142306264103516
2006,Darwin,S Asia,155,140036,0.11068582364534833
2006,Darwin,SE Asia,1819,140036,1.2989516981347653
2006,Gold Coast,NE Asia,283,140036,0.20209089091376503
2006,Gold Coast,New Zealand,1822,140036,1.3010940043988688
2006,Melbourne,Africa,126,140036,0.08997686309234768
2006,Melbourne,Europe,3559,140036,2.541489331314805
2006,Melbourne,Islands,544,140036,0.38847153589077094
2006,Melbourne,Middle East,2189,140036,1.5631694707075323
2006,Melbourne,N America,4655,140036,3.3241452198006227
2006,Melbourne,NE Asia,3733,140036,2.6657430946328087
2006,Melbourne,New Zealand,6495,140036,4.6380930617841125
2006,Melbourne,S Asia,52,140036,0.03713330857779428
2006,Melbourne,SE Asia,6621,140036,4.72806992487646
2006,Norfolk Island,New Zealand,209,140036,0.14924733639921164
2006,Perth,Africa,694,140036,0.4955868490959468
2006,Perth,Europe,143,140036,0.10211659858893427
2006,Perth,Middle East,1184,140036,0.8454968722328544
2006,Perth,NE Asia,1044,140036,0.7455225799080236
2006,Perth,New Zealand,646,140036,0.46130994887029053
2006,Perth,SE Asia,6803,140036,4.858036504898741
2006,Sydney,Africa,640,140036,0.4570253363420835
2006,Sydney,Europe,10180,140036,7.269559256191265
2006,Sydney,Islands,3780,140036,2.6993058927704308
2006,Sydney,Middle East,3636,140036,2.596475192093462
2006,Sydney,N America,8482,140036,6.057013910708675
2006,Sydney,NE Asia,12196,140036,8.709189065668827
2006,Sydney,New Zealand,15815,140036,11.293524522265704
2006,Sydney,S America,1686,140036,1.203976120426176
2006,Sydney,S Asia,314,140036,0.2242280556428347
2006,Sydney,SE Asia,8561,140036,6.1134279756634005
2007,Adelaide,NE Asia,497,141569,0.3510655581377279
2007,Adelaide,New Zealand,556,141569,0.39274134874160305
2007,Adelaide,S Asia,5,141569,0.0035318466613453513
2007,Adelaide,SE Asia,1478,141569,1.0440138730936859
2007,Brisbane,Islands,4083,141569,2.8841059836546137
2007,Brisbane,Middle East,1624,141569,1.1471437956049702
2007,Brisbane,N America,1124,141569,0.7939591294704349
2007,Brisbane,NE Asia,4385,141569,3.097429521999873
2007,Brisbane,New Zealand,9300,141569,6.569234790102353
2007,Brisbane,SE Asia,4124,141569,2.9130671262776455
2007,Cairns,Islands,1840,141569,1.299719571375089
2007,Cairns,N America,1,141569,0.0007063693322690702
2007,Cairns,NE Asia,3318,141569,2.343733444468775
