Type,Australian_City,Total_Flights,Year,admin_name,Total_Flights_Yearly
Inbound,Adelaide,130,2003,South Australia,259.0
Inbound,Adelaide,310,2004,South Australia,616.0
Inbound,Adelaide,345,2005,South Australia,686.0
Inbound,Adelaide,1206,2006,South Australia,2401.0
Inbound,Adelaide,1273,2007,South Australia,2536.0
Inbound,Adelaide,1425,2008,South Australia,2841.0
Inbound,Adelaide,1559,2009,South Australia,3110.0
Inbound,Adelaide,1533,2010,South Australia,3059.0
Inbound,Adelaide,1646,2011,South Australia,3287.0
Inbound,Adelaide,1883,2012,South Australia,3762.0
Inbound,Adelaide,2292,2013,South Australia,4582.0
Inbound,Adelaide,2665,2014,South Australia,5330.0
Inbound,Adelaide,2142,2015,South Australia,4278.0
Inbound,Adelaide,2318,2016,South Australia,4643.0
Inbound,Adelaide,2383,2017,South Australia,4758.0
Inbound,Adelaide,2486,2018,South Australia,4968.0
Inbound,Adelaide,2856,2019,South Australia,5710.0
Inbound,Adelaide,778,2020,South Australia,1553.0
Inbound,Adelaide,410,2021,South Australia,805.0
Inbound,Adelaide,710,2022,South Australia,1587.0
Inbound,Brisbane,1492,2003,Queensland,4232.0
Inbound,Brisbane,3601,2004,Queensland,9882.0
Inbound,Brisbane,3873,2005,Queensland,10741.0
Inbound,Brisbane,11622,2006,Queensland,31667.0
Inbound,Brisbane,12380,2007,Queensland,32586.0
Inbound,Brisbane,13446,2008,Queensland,35504.0
Inbound,Brisbane,13892,2009,Queensland,36301.0
Inbound,Brisbane,14169,2010,Queensland,38026.0
Inbound,Brisbane,14279,2011,Queensland,38449.0
Inbound,Brisbane,13908,2012,Queensland,37250.0
Inbound,Brisbane,14578,2013,Queensland,38791.0
Inbound,Brisbane,15118,2014,Queensland,39202.0
Inbound,Brisbane,14867,2015,Queensland,39891.0
Inbound,Brisbane,15200,2016,Queensland,43057.0
Inbound,Brisbane,16605,2017,Queensland,45553.0
Inbound,Brisbane,17847,2018,Queensland,46595.0
Inbound,Brisbane,18150,2019,Queensland,45981.0
Inbound,Brisbane,4795,2020,Queensland,11797.0
Inbound,Brisbane,2120,2021,Queensland,4653.0
Inbound,Brisbane,4057,2022,Queensland,10070.0
Inbound,Cairns,467,2003,Queensland,4232.0
Inbound,Cairns,1007,2004,Queensland,9882.0
Inbound,Cairns,1048,2005,Queensland,10741.0
Inbound,Cairns,3162,2006,Queensland,31667.0
Inbound,Cairns,3126,2007,Queensland,32586.0
Inbound,Cairns,3030,2008,Queensland,35504.0
Inbound,Cairns,2428,2009,Queensland,36301.0
Inbound,Cairns,2694,2010,Queensland,38026.0
