Australian_City,International_City,Port_Country,Year,FROM_LATITUDE,FROM_LONGITUDE,TO_LATITUDE,TO_LONGITUDE,All_Flights
Brisbane,Tongatapu,Tonga,2015,-27.4689682,153.0234991,-21.1678253,-175.2738691,1
Brisbane,Tongatapu,Tonga,2022,-27.4689682,153.0234991,-21.1678253,-175.2738691,2
Sydney,Tongatapu,Tonga,2003,-33.8698439,151.2082848,-21.1678253,-175.2738691,54
Sydney,Tongatapu,Tonga,2004,-33.8698439,151.2082848,-21.1678253,-175.2738691,66
Sydney,Tongatapu,Tonga,2005,-33.8698439,151.2082848,-21.1678253,-175.2738691,67
Sydney,Tongatapu,Tonga,2006,-33.8698439,151.2082848,-21.1678253,-175.2738691,209
Sydney,Tongatapu,Tonga,2007,-33.8698439,151.2082848,-21.1678253,-175.2738691,210
Sydney,Tongatapu,Tonga,2008,-33.8698439,151.2082848,-21.1678253,-175.2738691,208
Sydney,Tongatapu,Tonga,2009,-33.8698439,151.2082848,-21.1678253,-175.2738691,209
Sydney,Tongatapu,Tonga,2010,-33.8698439,151.2082848,-21.1678253,-175.2738691,206
Sydney,Tongatapu,Tonga,2011,-33.8698439,151.2082848,-21.1678253,-175.2738691,204
Sydney,Tongatapu,Tonga,2012,-33.8698439,151.2082848,-21.1678253,-175.2738691,206
Sydney,Tongatapu,Tonga,2013,-33.8698439,151.2082848,-21.1678253,-175.2738691,210
Sydney,Tongatapu,Tonga,2014,-33.8698439,151.2082848,-21.1678253,-175.2738691,205
Sydney,Tongatapu,Tonga,2015,-33.8698439,151.2082848,-21.1678253,-175.2738691,208
Sydney,Tongatapu,Tonga,2016,-33.8698439,151.2082848,-21.1678253,-175.2738691,208
Sydney,Tongatapu,Tonga,2017,-33.8698439,151.2082848,-21.1678253,-175.2738691,208
Sydney,Tongatapu,Tonga,2018,-33.8698439,151.2082848,-21.1678253,-175.2738691,206
Sydney,Tongatapu,Tonga,2019,-33.8698439,151.2082848,-21.1678253,-175.2738691,207
Sydney,Tongatapu,Tonga,2020,-33.8698439,151.2082848,-21.1678253,-175.2738691,48
Brisbane,Apia,Western Samoa,2008,-27.4689682,153.0234991,-13.8343691,-171.7692793,10
Brisbane,Apia,Western Samoa,2009,-27.4689682,153.0234991,-13.8343691,-171.7692793,96
Brisbane,Apia,Western Samoa,2010,-27.4689682,153.0234991,-13.8343691,-171.7692793,90
Brisbane,Apia,Western Samoa,2011,-27.4689682,153.0234991,-13.8343691,-171.7692793,105
Brisbane,Apia,Western Samoa,2012,-27.4689682,153.0234991,-13.8343691,-171.7692793,103
Brisbane,Apia,Western Samoa,2013,-27.4689682,153.0234991,-13.8343691,-171.7692793,105
Brisbane,Apia,Western Samoa,2014,-27.4689682,153.0234991,-13.8343691,-171.7692793,105
Brisbane,Apia,Western Samoa,2015,-27.4689682,153.0234991,-13.8343691,-171.7692793,110
Brisbane,Apia,Western Samoa,2016,-27.4689682,153.0234991,-13.8343691,-171.7692793,113
Brisbane,Apia,Western Samoa,2017,-27.4689682,153.0234991,-13.8343691,-171.7692793,114
Brisbane,Apia,Western Samoa,2018,-27.4689682,153.0234991,-13.8343691,-171.7692793,135
Brisbane,Apia,Western Samoa,2019,-27.4689682,153.0234991,-13.8343691,-171.7692793,305
Brisbane,Apia,Western Samoa,2020,-27.4689682,153.0234991,-13.8343691,-171.7692793,58
Brisbane,Apia,Western Samoa,2021,-27.4689682,153.0234991,-13.8343691,-171.7692793,1
Sydney,Apia,Western Samoa,2003,-33.8698439,151.2082848,-13.8343691,-171.7692793,39
Sydney,Apia,Western Samoa,2004,-33.8698439,151.2082848,-13.8343691,-171.7692793,66
Sydney,Apia,Western Samoa,2005,-33.8698439,151.2082848,-13.8343691,-171.7692793,77
Sydney,Apia,Western Samoa,2006,-33.8698439,151.2082848,-13.8343691,-171.7692793,314
Sydney,Apia,Western Samoa,2007,-33.8698439,151.2082848,-13.8343691,-171.7692793,320
Sydney,Apia,Western Samoa,2008,-33.8698439,151.2082848,-13.8343691,-171.7692793,321
Sydney,Apia,Western Samoa,2009,-33.8698439,151.2082848,-13.8343691,-171.7692793,314
Sydney,Apia,Western Samoa,2010,-33.8698439,151.2082848,-13.8343691,-171.7692793,313
Sydney,Apia,Western Samoa,2011,-33.8698439,151.2082848,-13.8343691,-171.7692793,308
Sydney,Apia,Western Samoa,2012,-33.8698439,151.2082848,-13.8343691,-171.7692793,307
Sydney,Apia,Western Samoa,2013,-33.8698439,151.2082848,-13.8343691,-171.7692793,305
Sydney,Apia,Western Samoa,2014,-33.8698439,151.2082848,-13.8343691,-171.7692793,248
Sydney,Apia,Western Samoa,2015,-33.8698439,151.2082848,-13.8343691,-171.7692793,229
Sydney,Apia,Western Samoa,2016,-33.8698439,151.2082848,-13.8343691,-171.7692793,232
Sydney,Apia,Western Samoa,2017,-33.8698439,151.2082848,-13.8343691,-171.7692793,227
Sydney,Apia,Western Samoa,2018,-33.8698439,151.2082848,-13.8343691,-171.7692793,387
Sydney,Apia,Western Samoa,2019,-33.8698439,151.2082848,-13.8343691,-171.7692793,433
Sydney,Apia,Western Samoa,2020,-33.8698439,151.2082848,-13.8343691,-171.7692793,76
Sydney,Apia,Western Samoa,2021,-33.8698439,151.2082848,-13.8343691,-171.7692793,1
Sydney,Niue,Niue,2003,-33.8698439,151.2082848,-19.05397155,-169.8492334,5
Sydney,Niue,Niue,2004,-33.8698439,151.2082848,-19.05397155,-169.8492334,3
Melbourne,Rarotonga,Cook Islands,2005,-37.8142176,144.9631608,-21.2349911,-159.7787237,24
Melbourne,Rarotonga,Cook Islands,2006,-37.8142176,144.9631608,-21.2349911,-159.7787237,37
Melbourne,Rarotonga,Cook Islands,2007,-37.8142176,144.9631608,-21.2349911,-159.7787237,49
Melbourne,Rarotonga,Cook Islands,2008,-37.8142176,144.9631608,-21.2349911,-159.7787237,86
Melbourne,Rarotonga,Cook Islands,2009,-37.8142176,144.9631608,-21.2349911,-159.7787237,31
Sydney,Rarotonga,Cook Islands,2006,-33.8698439,151.2082848,-21.2349911,-159.7787237,21
Sydney,Rarotonga,Cook Islands,2007,-33.8698439,151.2082848,-21.2349911,-159.7787237,30
Sydney,Rarotonga,Cook Islands,2009,-33.8698439,151.2082848,-21.2349911,-159.7787237,12
Sydney,Rarotonga,Cook Islands,2010,-33.8698439,151.2082848,-21.2349911,-159.7787237,34
Sydney,Rarotonga,Cook Islands,2011,-33.8698439,151.2082848,-21.2349911,-159.7787237,54
Sydney,Rarotonga,Cook Islands,2012,-33.8698439,151.2082848,-21.2349911,-159.7787237,104
Sydney,Rarotonga,Cook Islands,2013,-33.8698439,151.2082848,-21.2349911,-159.7787237,104
Sydney,Rarotonga,Cook Islands,2014,-33.8698439,151.2082848,-21.2349911,-159.7787237,102
Sydney,Rarotonga,Cook Islands,2015,-33.8698439,151.2082848,-21.2349911,-159.7787237,104
Sydney,Rarotonga,Cook Islands,2016,-33.8698439,151.2082848,-21.2349911,-159.7787237,106
Sydney,Rarotonga,Cook Islands,2017,-33.8698439,151.2082848,-21.2349911,-159.7787237,103
Sydney,Rarotonga,Cook Islands,2018,-33.8698439,151.2082848,-21.2349911,-159.7787237,104
Sydney,Rarotonga,Cook Islands,2019,-33.8698439,151.2082848,-21.2349911,-159.7787237,104
Sydney,Rarotonga,Cook Islands,2020,-33.8698439,151.2082848,-21.2349911,-159.7787237,23
Brisbane,Honolulu,United States of America,2005,-27.4689682,153.0234991,21.304547,-157.855676,1
Brisbane,Honolulu,United States of America,2006,-27.4689682,153.0234991,21.304547,-157.855676,1
