Type,Australian_City,Total_Flights,Year
Inbound,Adelaide,130,2003
Inbound,Adelaide,310,2004
Inbound,Adelaide,345,2005
Inbound,Adelaide,1206,2006
Inbound,Adelaide,1273,2007
Inbound,Adelaide,1425,2008
Inbound,Adelaide,1559,2009
Inbound,Adelaide,1533,2010
Inbound,Adelaide,1646,2011
Inbound,Adelaide,1883,2012
Inbound,Adelaide,2292,2013
Inbound,Adelaide,2665,2014
Inbound,Adelaide,2142,2015
Inbound,Adelaide,2318,2016
Inbound,Adelaide,2383,2017
Inbound,Adelaide,2486,2018
Inbound,Adelaide,2856,2019
Inbound,Adelaide,778,2020
Inbound,Adelaide,410,2021
Inbound,Adelaide,710,2022
Inbound,Brisbane,1492,2003
Inbound,Brisbane,3601,2004
Inbound,Brisbane,3873,2005
Inbound,Brisbane,11622,2006
Inbound,Brisbane,12380,2007
Inbound,Brisbane,13446,2008
Inbound,Brisbane,13892,2009
Inbound,Brisbane,14169,2010
Inbound,Brisbane,14279,2011
Inbound,Brisbane,13908,2012
Inbound,Brisbane,14578,2013
Inbound,Brisbane,15118,2014
Inbound,Brisbane,14867,2015
Inbound,Brisbane,15200,2016
Inbound,Brisbane,16605,2017
Inbound,Brisbane,17847,2018
Inbound,Brisbane,18150,2019
Inbound,Brisbane,4795,2020
Inbound,Brisbane,2120,2021
Inbound,Brisbane,4057,2022
Inbound,Cairns,467,2003
Inbound,Cairns,1007,2004
Inbound,Cairns,1048,2005
Inbound,Cairns,3162,2006
Inbound,Cairns,3126,2007
Inbound,Cairns,3030,2008
Inbound,Cairns,2428,2009
Inbound,Cairns,2694,2010
Inbound,Cairns,2964,2011
Inbound,Cairns,2744,2012
Inbound,Cairns,2735,2013
Inbound,Cairns,2310,2014
Inbound,Cairns,2454,2015
Inbound,Cairns,2915,2016
Inbound,Cairns,2644,2017
Inbound,Cairns,2276,2018
Inbound,Cairns,2305,2019
Inbound,Cairns,541,2020
Inbound,Cairns,22,2021
Inbound,Cairns,335,2022
Inbound,Canberra,4,2004
Inbound,Canberra,117,2016
Inbound,Canberra,412,2017
Inbound,Canberra,697,2018
Inbound,Canberra,728,2019
Inbound,Canberra,164,2020
Inbound,Canberra,1,2021
Inbound,Christmas Island,8,2003
Inbound,Christmas Island,4,2007
Inbound,Christmas Island,22,2008
Inbound,Darwin,81,2003
Inbound,Darwin,219,2004
Inbound,Darwin,239,2005
Inbound,Darwin,917,2006
Inbound,Darwin,1044,2007
Inbound,Darwin,1344,2008
Inbound,Darwin,1365,2009
Inbound,Darwin,1278,2010
Inbound,Darwin,1537,2011
Inbound,Darwin,1498,2012
Inbound,Darwin,1825,2013
Inbound,Darwin,1567,2014
Inbound,Darwin,1223,2015
Inbound,Darwin,1290,2016
Inbound,Darwin,1224,2017
Inbound,Darwin,896,2018
Inbound,Darwin,1055,2019
Inbound,Darwin,225,2020
Inbound,Darwin,71,2021
Inbound,Darwin,637,2022
Inbound,Gold Coast,171,2003
Inbound,Gold Coast,332,2004
Inbound,Gold Coast,453,2005
Inbound,Gold Coast,1056,2006
Inbound,Gold Coast,845,2007
Inbound,Gold Coast,1226,2008
Inbound,Gold Coast,1858,2009
Inbound,Gold Coast,2152,2010
Inbound,Gold Coast,2011,2011
Inbound,Gold Coast,2136,2012
Inbound,Gold Coast,2218,2013
Inbound,Gold Coast,2308,2014
Inbound,Gold Coast,2565,2015
Inbound,Gold Coast,3229,2016
Inbound,Gold Coast,3287,2017
Inbound,Gold Coast,3028,2018
Inbound,Gold Coast,2486,2019
Inbound,Gold Coast,577,2020
Inbound,Gold Coast,226,2021
Inbound,Gold Coast,632,2022
Inbound,Hobart,27,2021
Inbound,Hobart,22,2022
Inbound,Melbourne,2127,2003
Inbound,Melbourne,4959,2004
Inbound,Melbourne,5032,2005
Inbound,Melbourne,14016,2006
Inbound,Melbourne,13678,2007
Inbound,Melbourne,14523,2008
Inbound,Melbourne,16134,2009
Inbound,Melbourne,17844,2010
Inbound,Melbourne,19007,2011
Inbound,Melbourne,19494,2012
Inbound,Melbourne,19934,2013
Inbound,Melbourne,21135,2014
Inbound,Melbourne,21913,2015
Inbound,Melbourne,22995,2016
Inbound,Melbourne,23753,2017
Inbound,Melbourne,26266,2018
Inbound,Melbourne,27242,2019
Inbound,Melbourne,6618,2020
Inbound,Melbourne,2873,2021
Inbound,Melbourne,7883,2022
Inbound,Newcastle,17,2018
Inbound,Newcastle,37,2019
Inbound,Newcastle,18,2020
Inbound,Norfolk Island,17,2003
Inbound,Norfolk Island,52,2004
Inbound,Norfolk Island,34,2005
Inbound,Norfolk Island,104,2006
Inbound,Norfolk Island,104,2007
Inbound,Norfolk Island,101,2008
Inbound,Norfolk Island,65,2009
Inbound,Norfolk Island,55,2010
Inbound,Norfolk Island,52,2011
Inbound,Norfolk Island,53,2012
Inbound,Norfolk Island,54,2013
Inbound,Norfolk Island,54,2014
Inbound,Norfolk Island,54,2015
Inbound,Norfolk Island,53,2016
Inbound,Norfolk Island,21,2017
Inbound,Norfolk Island,18,2019
Inbound,Norfolk Island,12,2020
Inbound,Norfolk Island,7,2021
Inbound,Norfolk Island,4,2022
Inbound,Perth,821,2003
Inbound,Perth,1677,2004
Inbound,Perth,1887,2005
Inbound,Perth,5199,2006
Inbound,Perth,6080,2007
Inbound,Perth,6786,2008
Inbound,Perth,8051,2009
Inbound,Perth,9194,2010
Inbound,Perth,9970,2011
Inbound,Perth,10491,2012
Inbound,Perth,11691,2013
Inbound,Perth,12214,2014
Inbound,Perth,11183,2015
Inbound,Perth,11718,2016
Inbound,Perth,11506,2017
Inbound,Perth,11454,2018
Inbound,Perth,10823,2019
Inbound,Perth,3081,2020
Inbound,Perth,1367,2021
Inbound,Perth,2715,2022
Inbound,Port Hedland,22,2010
Inbound,Port Hedland,12,2011
Inbound,Port Hedland,34,2015
Inbound,Port Hedland,53,2016
Inbound,Port Hedland,49,2017
Inbound,Port Hedland,51,2018
Inbound,Port Hedland,51,2019
Inbound,Port Hedland,10,2020
Inbound,Sunshine Coast,24,2012
Inbound,Sunshine Coast,34,2013
Inbound,Sunshine Coast,42,2014
Inbound,Sunshine Coast,57,2015
Inbound,Sunshine Coast,76,2016
Inbound,Sunshine Coast,55,2017
Inbound,Sunshine Coast,62,2018
Inbound,Sunshine Coast,63,2019
Inbound,Sunshine Coast,5,2021
Inbound,Sunshine Coast,23,2022
Inbound,Sydney,4941,2003
Inbound,Sydney,10557,2004
Inbound,Sydney,11164,2005
Inbound,Sydney,32555,2006
Inbound,Sydney,32135,2007
Inbound,Sydney,32743,2008
Inbound,Sydney,32865,2009
Inbound,Sydney,33916,2010
Inbound,Sydney,35226,2011
Inbound,Sydney,35014,2012
Inbound,Sydney,35005,2013
Inbound,Sydney,34874,2014
Inbound,Sydney,34251,2015
Inbound,Sydney,37307,2016
Inbound,Sydney,38994,2017
Inbound,Sydney,40767,2018
Inbound,Sydney,40668,2019
Inbound,Sydney,11493,2020
Inbound,Sydney,5880,2021
Inbound,Sydney,12836,2022
Inbound,Townsville,7,2010
Inbound,Townsville,52,2011
Inbound,Townsville,44,2015
Inbound,Townsville,153,2016
Inbound,Townsville,230,2017
Inbound,Townsville,112,2018
Outbound,Adelaide,129,2003
Outbound,Adelaide,306,2004
Outbound,Adelaide,341,2005
Outbound,Adelaide,1195,2006
Outbound,Adelaide,1263,2007
Outbound,Adelaide,1416,2008
Outbound,Adelaide,1551,2009
Outbound,Adelaide,1526,2010
Outbound,Adelaide,1641,2011
Outbound,Adelaide,1879,2012
Outbound,Adelaide,2290,2013
Outbound,Adelaide,2665,2014
Outbound,Adelaide,2136,2015
Outbound,Adelaide,2325,2016
Outbound,Adelaide,2375,2017
Outbound,Adelaide,2482,2018
Outbound,Adelaide,2854,2019
Outbound,Adelaide,775,2020
Outbound,Adelaide,395,2021
Outbound,Adelaide,877,2022
Outbound,Brisbane,1487,2003
Outbound,Brisbane,3609,2004
Outbound,Brisbane,3879,2005
Outbound,Brisbane,11610,2006
Outbound,Brisbane,12260,2007
Outbound,Brisbane,13400,2008
Outbound,Brisbane,13839,2009
Outbound,Brisbane,14083,2010
Outbound,Brisbane,14126,2011
Outbound,Brisbane,13602,2012
Outbound,Brisbane,14353,2013
Outbound,Brisbane,14865,2014
Outbound,Brisbane,14846,2015
Outbound,Brisbane,15189,2016
Outbound,Brisbane,16580,2017
Outbound,Brisbane,17853,2018
Outbound,Brisbane,18187,2019
Outbound,Brisbane,4769,2020
Outbound,Brisbane,2028,2021
Outbound,Brisbane,4040,2022
Outbound,Cairns,465,2003
Outbound,Cairns,1008,2004
Outbound,Cairns,1045,2005
Outbound,Cairns,3168,2006
Outbound,Cairns,3135,2007
Outbound,Cairns,3180,2008
Outbound,Cairns,2420,2009
Outbound,Cairns,2708,2010
Outbound,Cairns,2949,2011
Outbound,Cairns,2693,2012
Outbound,Cairns,2623,2013
Outbound,Cairns,2273,2014
Outbound,Cairns,2448,2015
Outbound,Cairns,2915,2016
Outbound,Cairns,2641,2017
Outbound,Cairns,2278,2018
Outbound,Cairns,2302,2019
Outbound,Cairns,536,2020
Outbound,Cairns,28,2021
Outbound,Cairns,347,2022
Outbound,Canberra,4,2004
Outbound,Canberra,117,2016
Outbound,Canberra,412,2017
Outbound,Canberra,697,2018
Outbound,Canberra,727,2019
Outbound,Canberra,163,2020
Outbound,Christmas Island,8,2003
Outbound,Christmas Island,4,2007
Outbound,Christmas Island,22,2008
Outbound,Darwin,86,2003
Outbound,Darwin,233,2004
Outbound,Darwin,259,2005
Outbound,Darwin,1064,2006
Outbound,Darwin,1199,2007
Outbound,Darwin,1359,2008
Outbound,Darwin,1372,2009
Outbound,Darwin,1280,2010
Outbound,Darwin,1541,2011
Outbound,Darwin,1511,2012
Outbound,Darwin,1829,2013
Outbound,Darwin,1557,2014
Outbound,Darwin,1220,2015
Outbound,Darwin,1292,2016
Outbound,Darwin,1218,2017
Outbound,Darwin,897,2018
Outbound,Darwin,1053,2019
Outbound,Darwin,222,2020
Outbound,Darwin,67,2021
Outbound,Darwin,630,2022
Outbound,Gold Coast,150,2003
Outbound,Gold Coast,325,2004
Outbound,Gold Coast,443,2005
Outbound,Gold Coast,1049,2006
Outbound,Gold Coast,840,2007
Outbound,Gold Coast,1222,2008
Outbound,Gold Coast,1864,2009
Outbound,Gold Coast,2205,2010
Outbound,Gold Coast,2016,2011
Outbound,Gold Coast,2143,2012
Outbound,Gold Coast,2250,2013
Outbound,Gold Coast,2286,2014
Outbound,Gold Coast,2565,2015
Outbound,Gold Coast,3226,2016
Outbound,Gold Coast,3283,2017
Outbound,Gold Coast,3027,2018
Outbound,Gold Coast,2488,2019
Outbound,Gold Coast,579,2020
Outbound,Gold Coast,224,2021
Outbound,Gold Coast,636,2022
Outbound,Hobart,26,2021
Outbound,Hobart,21,2022
Outbound,Melbourne,2110,2003
Outbound,Melbourne,4844,2004
Outbound,Melbourne,4881,2005
Outbound,Melbourne,13958,2006
Outbound,Melbourne,13722,2007
Outbound,Melbourne,14642,2008
Outbound,Melbourne,16206,2009
Outbound,Melbourne,17879,2010
Outbound,Melbourne,19046,2011
Outbound,Melbourne,19453,2012
Outbound,Melbourne,19995,2013
Outbound,Melbourne,21165,2014
Outbound,Melbourne,21918,2015
Outbound,Melbourne,22986,2016
Outbound,Melbourne,23773,2017
Outbound,Melbourne,26347,2018
Outbound,Melbourne,27241,2019
Outbound,Melbourne,7448,2020
Outbound,Melbourne,2870,2021
Outbound,Melbourne,7861,2022
Outbound,Newcastle,16,2018
Outbound,Newcastle,37,2019
Outbound,Newcastle,18,2020
Outbound,Norfolk Island,17,2003
Outbound,Norfolk Island,52,2004
Outbound,Norfolk Island,34,2005
Outbound,Norfolk Island,105,2006
Outbound,Norfolk Island,104,2007
Outbound,Norfolk Island,102,2008
Outbound,Norfolk Island,66,2009
Outbound,Norfolk Island,54,2010
Outbound,Norfolk Island,52,2011
Outbound,Norfolk Island,52,2012
Outbound,Norfolk Island,54,2013
Outbound,Norfolk Island,53,2014
Outbound,Norfolk Island,53,2015
Outbound,Norfolk Island,53,2016
