Australian_City,International_City,Port_Country,Year,FROM_LATITUDE,FROM_LONGITUDE,TO_LATITUDE,TO_LONGITUDE
Brisbane,Tongatapu,Tonga,2015,-27.4689682,153.0234991,-21.1678253,-175.2738691
Brisbane,Tongatapu,Tonga,2022,-27.4689682,153.0234991,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2003,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2004,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2005,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2006,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2007,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2008,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2009,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2010,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2011,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2012,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2013,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2014,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2015,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2016,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2017,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2018,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2019,-33.8698439,151.2082848,-21.1678253,-175.2738691
Sydney,Tongatapu,Tonga,2020,-33.8698439,151.2082848,-21.1678253,-175.2738691
Brisbane,Apia,Western Samoa,2008,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2009,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2010,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2011,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2012,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2013,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2014,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2015,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2016,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2017,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2018,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2019,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2020,-27.4689682,153.0234991,-13.8343691,-171.7692793
Brisbane,Apia,Western Samoa,2021,-27.4689682,153.0234991,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2003,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2004,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2005,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2006,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2007,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2008,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2009,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2010,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2011,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2012,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2013,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2014,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2015,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2016,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2017,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2018,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2019,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2020,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Apia,Western Samoa,2021,-33.8698439,151.2082848,-13.8343691,-171.7692793
Sydney,Niue,Niue,2003,-33.8698439,151.2082848,-19.05397155,-169.8492334
Sydney,Niue,Niue,2004,-33.8698439,151.2082848,-19.05397155,-169.8492334
Melbourne,Rarotonga,Cook Islands,2005,-37.8142176,144.9631608,-21.2349911,-159.7787237
Melbourne,Rarotonga,Cook Islands,2006,-37.8142176,144.9631608,-21.2349911,-159.7787237
Melbourne,Rarotonga,Cook Islands,2007,-37.8142176,144.9631608,-21.2349911,-159.7787237
Melbourne,Rarotonga,Cook Islands,2008,-37.8142176,144.9631608,-21.2349911,-159.7787237
Melbourne,Rarotonga,Cook Islands,2009,-37.8142176,144.9631608,-21.2349911,-159.7787237
Sydney,Rarotonga,Cook Islands,2006,-33.8698439,151.2082848,-21.2349911,-159.7787237
