Australian_City,International_City,Port_Country,Year
Adelaide,Auckland,New Zealand,2004
Adelaide,Auckland,New Zealand,2005
Adelaide,Auckland,New Zealand,2006
Adelaide,Auckland,New Zealand,2007
Adelaide,Auckland,New Zealand,2008
Adelaide,Auckland,New Zealand,2009
Adelaide,Auckland,New Zealand,2010
Adelaide,Auckland,New Zealand,2011
Adelaide,Auckland,New Zealand,2012
Adelaide,Auckland,New Zealand,2013
Adelaide,Auckland,New Zealand,2014
Adelaide,Auckland,New Zealand,2015
Adelaide,Auckland,New Zealand,2016
Adelaide,Auckland,New Zealand,2017
Adelaide,Auckland,New Zealand,2018
Adelaide,Auckland,New Zealand,2019
Adelaide,Auckland,New Zealand,2020
Adelaide,Auckland,New Zealand,2021
Adelaide,Auckland,New Zealand,2022
Adelaide,Bangkok,Thailand,2006
Adelaide,Bombay,India,2006
Adelaide,Bombay,India,2007
Adelaide,Bombay,India,2008
Adelaide,Bombay,India,2009
Adelaide,Denpasar,Indonesia,2003
Adelaide,Denpasar,Indonesia,2004
Adelaide,Denpasar,Indonesia,2005
Adelaide,Denpasar,Indonesia,2006
Adelaide,Denpasar,Indonesia,2008
Adelaide,Denpasar,Indonesia,2009
Adelaide,Denpasar,Indonesia,2010
Adelaide,Denpasar,Indonesia,2011
Adelaide,Denpasar,Indonesia,2012
Adelaide,Denpasar,Indonesia,2013
Adelaide,Denpasar,Indonesia,2014
Adelaide,Denpasar,Indonesia,2015
Adelaide,Denpasar,Indonesia,2016
Adelaide,Denpasar,Indonesia,2017
Adelaide,Denpasar,Indonesia,2018
Adelaide,Denpasar,Indonesia,2019
Adelaide,Denpasar,Indonesia,2020
Adelaide,Denpasar,Indonesia,2022
Adelaide,Doha,Qatar,2016
Adelaide,Doha,Qatar,2017
Adelaide,Doha,Qatar,2018
Adelaide,Doha,Qatar,2019
Adelaide,Doha,Qatar,2020
Adelaide,Doha,Qatar,2021
Adelaide,Doha,Qatar,2022
Adelaide,Dubai,United Arab Emirates,2012
Adelaide,Dubai,United Arab Emirates,2013
Adelaide,Dubai,United Arab Emirates,2014
Adelaide,Dubai,United Arab Emirates,2015
Adelaide,Dubai,United Arab Emirates,2016
Adelaide,Dubai,United Arab Emirates,2017
Adelaide,Dubai,United Arab Emirates,2018
Adelaide,Dubai,United Arab Emirates,2019
Adelaide,Dubai,United Arab Emirates,2020
Adelaide,Guangzhou,China,2016
Adelaide,Guangzhou,China,2017
Adelaide,Guangzhou,China,2018
Adelaide,Guangzhou,China,2019
Adelaide,Guangzhou,China,2020
Adelaide,Hong Kong,Hong Kong (SAR),2003
Adelaide,Hong Kong,Hong Kong (SAR),2004
Adelaide,Hong Kong,Hong Kong (SAR),2005
Adelaide,Hong Kong,Hong Kong (SAR),2006
Adelaide,Hong Kong,Hong Kong (SAR),2007
Adelaide,Hong Kong,Hong Kong (SAR),2008
Adelaide,Hong Kong,Hong Kong (SAR),2009
Adelaide,Hong Kong,Hong Kong (SAR),2010
Adelaide,Hong Kong,Hong Kong (SAR),2011
Adelaide,Hong Kong,Hong Kong (SAR),2012
Adelaide,Hong Kong,Hong Kong (SAR),2013
Adelaide,Hong Kong,Hong Kong (SAR),2014
Adelaide,Hong Kong,Hong Kong (SAR),2015
Adelaide,Hong Kong,Hong Kong (SAR),2016
Adelaide,Hong Kong,Hong Kong (SAR),2017
Adelaide,Hong Kong,Hong Kong (SAR),2018
Adelaide,Hong Kong,Hong Kong (SAR),2019
Adelaide,Hong Kong,Hong Kong (SAR),2020
Adelaide,Hong Kong,Hong Kong (SAR),2021
Adelaide,Jakarta,Indonesia,2007
Adelaide,Jakarta,Indonesia,2010
Adelaide,Jakarta,Indonesia,2012
Adelaide,Kuala Lumpur,Malaysia,2003
Adelaide,Kuala Lumpur,Malaysia,2004
Adelaide,Kuala Lumpur,Malaysia,2005
Adelaide,Kuala Lumpur,Malaysia,2006
Adelaide,Kuala Lumpur,Malaysia,2007
Adelaide,Kuala Lumpur,Malaysia,2008
Adelaide,Kuala Lumpur,Malaysia,2009
Adelaide,Kuala Lumpur,Malaysia,2010
Adelaide,Kuala Lumpur,Malaysia,2011
Adelaide,Kuala Lumpur,Malaysia,2012
Adelaide,Kuala Lumpur,Malaysia,2013
Adelaide,Kuala Lumpur,Malaysia,2014
Adelaide,Kuala Lumpur,Malaysia,2015
Adelaide,Kuala Lumpur,Malaysia,2016
Adelaide,Kuala Lumpur,Malaysia,2017
Adelaide,Kuala Lumpur,Malaysia,2018
Adelaide,Kuala Lumpur,Malaysia,2019
Adelaide,Kuala Lumpur,Malaysia,2020
Adelaide,Kuala Lumpur,Malaysia,2021
Adelaide,Kuala Lumpur,Malaysia,2022
Adelaide,London,United Kingdom,2005
Adelaide,London,United Kingdom,2006
Adelaide,London,United Kingdom,2008
Adelaide,London,United Kingdom,2009
Adelaide,London,United Kingdom,2010
Adelaide,London,United Kingdom,2011
Adelaide,London,United Kingdom,2012
Adelaide,Los Angeles,United States of America,2006
Adelaide,Los Angeles,United States of America,2008
Adelaide,Los Angeles,United States of America,2021
Adelaide,Manila,Philippines,2009
Adelaide,Nadi,Fiji,2009
Adelaide,Nadi,Fiji,2010
Adelaide,Nadi,Fiji,2017
Adelaide,Nadi,Fiji,2018
Adelaide,Nadi,Fiji,2019
Adelaide,Nadi,Fiji,2022
Adelaide,New Delhi,India,2021
Adelaide,New Delhi,India,2022
Adelaide,Shanghai,China,2008
Adelaide,Singapore,Singapore,2003
Adelaide,Singapore,Singapore,2004
Adelaide,Singapore,Singapore,2005
Adelaide,Singapore,Singapore,2006
Adelaide,Singapore,Singapore,2007
Adelaide,Singapore,Singapore,2008
Adelaide,Singapore,Singapore,2009
Adelaide,Singapore,Singapore,2010
Adelaide,Singapore,Singapore,2011
Adelaide,Singapore,Singapore,2012
Adelaide,Singapore,Singapore,2013
Adelaide,Singapore,Singapore,2014
Adelaide,Singapore,Singapore,2015
Adelaide,Singapore,Singapore,2016
Adelaide,Singapore,Singapore,2017
Adelaide,Singapore,Singapore,2018
Adelaide,Singapore,Singapore,2019
Adelaide,Singapore,Singapore,2020
Adelaide,Singapore,Singapore,2021
Adelaide,Singapore,Singapore,2022
Adelaide,Tokyo,Japan,2005
Adelaide,Tokyo,Japan,2006
Adelaide,Tokyo,Japan,2007
Adelaide,Tokyo,Japan,2008
Adelaide,Tokyo,Japan,2020
Brisbane,Abu Dhabi,United Arab Emirates,2007
Brisbane,Abu Dhabi,United Arab Emirates,2008
Brisbane,Abu Dhabi,United Arab Emirates,2009
Brisbane,Abu Dhabi,United Arab Emirates,2010
Brisbane,Abu Dhabi,United Arab Emirates,2011
Brisbane,Abu Dhabi,United Arab Emirates,2012
Brisbane,Abu Dhabi,United Arab Emirates,2013
Brisbane,Abu Dhabi,United Arab Emirates,2014
Brisbane,Abu Dhabi,United Arab Emirates,2015
Brisbane,Abu Dhabi,United Arab Emirates,2016
Brisbane,Abu Dhabi,United Arab Emirates,2017
Brisbane,Abu Dhabi,United Arab Emirates,2018
Brisbane,Abu Dhabi,United Arab Emirates,2019
Brisbane,Abu Dhabi,United Arab Emirates,2020
Brisbane,Apia,Western Samoa,2008
Brisbane,Apia,Western Samoa,2009
Brisbane,Apia,Western Samoa,2010
Brisbane,Apia,Western Samoa,2011
Brisbane,Apia,Western Samoa,2012
Brisbane,Apia,Western Samoa,2013
Brisbane,Apia,Western Samoa,2014
Brisbane,Apia,Western Samoa,2015
Brisbane,Apia,Western Samoa,2016
Brisbane,Apia,Western Samoa,2017
Brisbane,Apia,Western Samoa,2018
Brisbane,Apia,Western Samoa,2019
Brisbane,Apia,Western Samoa,2020
Brisbane,Apia,Western Samoa,2021
Brisbane,Auckland,New Zealand,2003
Brisbane,Auckland,New Zealand,2004
Brisbane,Auckland,New Zealand,2005
Brisbane,Auckland,New Zealand,2006
Brisbane,Auckland,New Zealand,2007
Brisbane,Auckland,New Zealand,2008
Brisbane,Auckland,New Zealand,2009
Brisbane,Auckland,New Zealand,2010
Brisbane,Auckland,New Zealand,2011
Brisbane,Auckland,New Zealand,2012
Brisbane,Auckland,New Zealand,2013
Brisbane,Auckland,New Zealand,2014
Brisbane,Auckland,New Zealand,2015
Brisbane,Auckland,New Zealand,2016
Brisbane,Auckland,New Zealand,2017
Brisbane,Auckland,New Zealand,2018
Brisbane,Auckland,New Zealand,2019
Brisbane,Auckland,New Zealand,2020
Brisbane,Auckland,New Zealand,2021
Brisbane,Auckland,New Zealand,2022
Brisbane,Bandar Seri Begawan,Brunei,2003
Brisbane,Bandar Seri Begawan,Brunei,2004
Brisbane,Bandar Seri Begawan,Brunei,2005
Brisbane,Bandar Seri Begawan,Brunei,2006
Brisbane,Bandar Seri Begawan,Brunei,2007
Brisbane,Bandar Seri Begawan,Brunei,2008
Brisbane,Bandar Seri Begawan,Brunei,2009
Brisbane,Bandar Seri Begawan,Brunei,2010
Brisbane,Bandar Seri Begawan,Brunei,2011
Brisbane,Bandar Seri Begawan,Brunei,2019
Brisbane,Bandar Seri Begawan,Brunei,2020
Brisbane,Bangkok,Thailand,2003
Brisbane,Bangkok,Thailand,2004
Brisbane,Bangkok,Thailand,2005
Brisbane,Bangkok,Thailand,2006
Brisbane,Bangkok,Thailand,2007
Brisbane,Bangkok,Thailand,2008
Brisbane,Bangkok,Thailand,2009
Brisbane,Bangkok,Thailand,2010
Brisbane,Bangkok,Thailand,2011
Brisbane,Bangkok,Thailand,2012
Brisbane,Bangkok,Thailand,2013
Brisbane,Bangkok,Thailand,2014
Brisbane,Bangkok,Thailand,2015
Brisbane,Bangkok,Thailand,2016
Brisbane,Bangkok,Thailand,2017
Brisbane,Bangkok,Thailand,2018
Brisbane,Bangkok,Thailand,2019
Brisbane,Bangkok,Thailand,2020
Brisbane,Beijing,China,2004
Brisbane,Beijing,China,2011
Brisbane,Beijing,China,2012
Brisbane,Beijing,China,2013
Brisbane,Beijing,China,2017
Brisbane,Beijing,China,2018
Brisbane,Beijing,China,2019
Brisbane,Bombay,India,2009
Brisbane,Bombay,India,2010
Brisbane,Bombay,India,2011
Brisbane,Bombay,India,2012
Brisbane,Chicago,United States of America,2009
Brisbane,Chicago,United States of America,2010
Brisbane,Chicago,United States of America,2011
Brisbane,Christchurch,New Zealand,2003
Brisbane,Christchurch,New Zealand,2004
Brisbane,Christchurch,New Zealand,2005
Brisbane,Christchurch,New Zealand,2006
Brisbane,Christchurch,New Zealand,2007
Brisbane,Christchurch,New Zealand,2008
Brisbane,Christchurch,New Zealand,2009
Brisbane,Christchurch,New Zealand,2010
Brisbane,Christchurch,New Zealand,2011
Brisbane,Christchurch,New Zealand,2012
Brisbane,Christchurch,New Zealand,2013
Brisbane,Christchurch,New Zealand,2014
Brisbane,Christchurch,New Zealand,2015
Brisbane,Christchurch,New Zealand,2016
Brisbane,Christchurch,New Zealand,2017
Brisbane,Christchurch,New Zealand,2018
Brisbane,Christchurch,New Zealand,2019
Brisbane,Christchurch,New Zealand,2020
Brisbane,Christchurch,New Zealand,2021
Brisbane,Christchurch,New Zealand,2022
Brisbane,Dallas,United States of America,2011
Brisbane,Dallas,United States of America,2012
Brisbane,Dallas,United States of America,2013
Brisbane,Dallas,United States of America,2014
Brisbane,Dallas,United States of America,2015
Brisbane,Dallas,United States of America,2016
Brisbane,Dallas,United States of America,2017
Brisbane,Dallas,United States of America,2018
Brisbane,Dallas,United States of America,2019
Brisbane,Dallas,United States of America,2020
Brisbane,Denpasar,Indonesia,2003
Brisbane,Denpasar,Indonesia,2004
Brisbane,Denpasar,Indonesia,2005
Brisbane,Denpasar,Indonesia,2006
Brisbane,Denpasar,Indonesia,2007
Brisbane,Denpasar,Indonesia,2008
Brisbane,Denpasar,Indonesia,2009
Brisbane,Denpasar,Indonesia,2010
Brisbane,Denpasar,Indonesia,2011
Brisbane,Denpasar,Indonesia,2012
Brisbane,Denpasar,Indonesia,2013
Brisbane,Denpasar,Indonesia,2014
Brisbane,Denpasar,Indonesia,2015
Brisbane,Denpasar,Indonesia,2016
Brisbane,Denpasar,Indonesia,2017
Brisbane,Denpasar,Indonesia,2018
Brisbane,Denpasar,Indonesia,2019
Brisbane,Denpasar,Indonesia,2020
Brisbane,Denpasar,Indonesia,2021
Brisbane,Denpasar,Indonesia,2022
Brisbane,Doha,Qatar,2020
Brisbane,Doha,Qatar,2021
Brisbane,Doha,Qatar,2022
Brisbane,Dubai,United Arab Emirates,2003
Brisbane,Dubai,United Arab Emirates,2004
Brisbane,Dubai,United Arab Emirates,2005
Brisbane,Dubai,United Arab Emirates,2006
Brisbane,Dubai,United Arab Emirates,2007
Brisbane,Dubai,United Arab Emirates,2008
Brisbane,Dubai,United Arab Emirates,2009
Brisbane,Dubai,United Arab Emirates,2010
Brisbane,Dubai,United Arab Emirates,2011
Brisbane,Dubai,United Arab Emirates,2012
Brisbane,Dubai,United Arab Emirates,2013
Brisbane,Dubai,United Arab Emirates,2014
Brisbane,Dubai,United Arab Emirates,2015
Brisbane,Dubai,United Arab Emirates,2016
Brisbane,Dubai,United Arab Emirates,2017
Brisbane,Dubai,United Arab Emirates,2018
Brisbane,Dubai,United Arab Emirates,2019
Brisbane,Dubai,United Arab Emirates,2020
Brisbane,Dubai,United Arab Emirates,2021
Brisbane,Dubai,United Arab Emirates,2022
Brisbane,Dunedin,New Zealand,2003
Brisbane,Dunedin,New Zealand,2004
Brisbane,Dunedin,New Zealand,2005
Brisbane,Dunedin,New Zealand,2006
Brisbane,Dunedin,New Zealand,2007
Brisbane,Dunedin,New Zealand,2008
Brisbane,Dunedin,New Zealand,2009
Brisbane,Dunedin,New Zealand,2010
Brisbane,Dunedin,New Zealand,2011
Brisbane,Dunedin,New Zealand,2012
Brisbane,Dunedin,New Zealand,2013
Brisbane,Dunedin,New Zealand,2014
Brisbane,Dunedin,New Zealand,2015
Brisbane,Dunedin,New Zealand,2016
Brisbane,Dunedin,New Zealand,2017
Brisbane,Dunedin,New Zealand,2018
Brisbane,Dunedin,New Zealand,2019
Brisbane,Dunedin,New Zealand,2020
Brisbane,Espiritu Santo,Vanuatu,2007
Brisbane,Espiritu Santo,Vanuatu,2008
Brisbane,Espiritu Santo,Vanuatu,2009
Brisbane,Espiritu Santo,Vanuatu,2010
Brisbane,Espiritu Santo,Vanuatu,2011
Brisbane,Espiritu Santo,Vanuatu,2012
Brisbane,Espiritu Santo,Vanuatu,2013
Brisbane,Espiritu Santo,Vanuatu,2014
Brisbane,Espiritu Santo,Vanuatu,2015
Brisbane,Espiritu Santo,Vanuatu,2016
Brisbane,Espiritu Santo,Vanuatu,2017
Brisbane,Espiritu Santo,Vanuatu,2018
Brisbane,Espiritu Santo,Vanuatu,2019
Brisbane,Espiritu Santo,Vanuatu,2020
Brisbane,Frankfurt,Germany,2009
Brisbane,Frankfurt,Germany,2010
Brisbane,Frankfurt,Germany,2011
Brisbane,Frankfurt,Germany,2012
Brisbane,Guangzhou,China,2010
Brisbane,Guangzhou,China,2011
Brisbane,Guangzhou,China,2012
Brisbane,Guangzhou,China,2013
Brisbane,Guangzhou,China,2014
Brisbane,Guangzhou,China,2015
Brisbane,Guangzhou,China,2016
Brisbane,Guangzhou,China,2017
Brisbane,Guangzhou,China,2018
Brisbane,Guangzhou,China,2019
Brisbane,Guangzhou,China,2020
Brisbane,Hamilton,New Zealand,2003
Brisbane,Hamilton,New Zealand,2004
Brisbane,Hamilton,New Zealand,2005
Brisbane,Hamilton,New Zealand,2006
Brisbane,Hamilton,New Zealand,2007
Brisbane,Hamilton,New Zealand,2008
Brisbane,Hamilton,New Zealand,2009
Brisbane,Hamilton,New Zealand,2010
Brisbane,Hamilton,New Zealand,2011
Brisbane,Hamilton,New Zealand,2012
Brisbane,Hong Kong,Hong Kong (SAR),2003
Brisbane,Hong Kong,Hong Kong (SAR),2004
Brisbane,Hong Kong,Hong Kong (SAR),2005
Brisbane,Hong Kong,Hong Kong (SAR),2006
Brisbane,Hong Kong,Hong Kong (SAR),2007
Brisbane,Hong Kong,Hong Kong (SAR),2008
Brisbane,Hong Kong,Hong Kong (SAR),2009
Brisbane,Hong Kong,Hong Kong (SAR),2010
Brisbane,Hong Kong,Hong Kong (SAR),2011
Brisbane,Hong Kong,Hong Kong (SAR),2012
Brisbane,Hong Kong,Hong Kong (SAR),2013
Brisbane,Hong Kong,Hong Kong (SAR),2014
Brisbane,Hong Kong,Hong Kong (SAR),2015
Brisbane,Hong Kong,Hong Kong (SAR),2016
Brisbane,Hong Kong,Hong Kong (SAR),2017
Brisbane,Hong Kong,Hong Kong (SAR),2018
Brisbane,Hong Kong,Hong Kong (SAR),2019
Brisbane,Hong Kong,Hong Kong (SAR),2020
Brisbane,Hong Kong,Hong Kong (SAR),2021
Brisbane,Hong Kong,Hong Kong (SAR),2022
Brisbane,Honiara,Solomon Is.,2003
Brisbane,Honiara,Solomon Is.,2004
Brisbane,Honiara,Solomon Is.,2005
Brisbane,Honiara,Solomon Is.,2006
Brisbane,Honiara,Solomon Is.,2007
Brisbane,Honiara,Solomon Is.,2008
Brisbane,Honiara,Solomon Is.,2009
Brisbane,Honiara,Solomon Is.,2010
Brisbane,Honiara,Solomon Is.,2011
Brisbane,Honiara,Solomon Is.,2012
Brisbane,Honiara,Solomon Is.,2013
Brisbane,Honiara,Solomon Is.,2014
Brisbane,Honiara,Solomon Is.,2015
Brisbane,Honiara,Solomon Is.,2016
Brisbane,Honiara,Solomon Is.,2017
Brisbane,Honiara,Solomon Is.,2018
Brisbane,Honiara,Solomon Is.,2019
Brisbane,Honiara,Solomon Is.,2020
Brisbane,Honiara,Solomon Is.,2021
Brisbane,Honiara,Solomon Is.,2022
Brisbane,Honolulu,United States of America,2005
Brisbane,Honolulu,United States of America,2006
Brisbane,Honolulu,United States of America,2007
Brisbane,Honolulu,United States of America,2008
Brisbane,Honolulu,United States of America,2009
Brisbane,Honolulu,United States of America,2011
Brisbane,Honolulu,United States of America,2012
Brisbane,Honolulu,United States of America,2013
Brisbane,Honolulu,United States of America,2014
Brisbane,Honolulu,United States of America,2015
Brisbane,Honolulu,United States of America,2016
Brisbane,Honolulu,United States of America,2017
Brisbane,Honolulu,United States of America,2018
Brisbane,Honolulu,United States of America,2019
Brisbane,Honolulu,United States of America,2020
Brisbane,Jakarta,Indonesia,2008
Brisbane,Jakarta,Indonesia,2014
Brisbane,Jakarta,Indonesia,2015
Brisbane,Kuala Lumpur,Malaysia,2003
Brisbane,Kuala Lumpur,Malaysia,2004
Brisbane,Kuala Lumpur,Malaysia,2005
Brisbane,Kuala Lumpur,Malaysia,2006
Brisbane,Kuala Lumpur,Malaysia,2007
Brisbane,Kuala Lumpur,Malaysia,2008
Brisbane,Kuala Lumpur,Malaysia,2009
Brisbane,Kuala Lumpur,Malaysia,2010
Brisbane,Kuala Lumpur,Malaysia,2011
Brisbane,Kuala Lumpur,Malaysia,2012
Brisbane,Kuala Lumpur,Malaysia,2013
Brisbane,Kuala Lumpur,Malaysia,2014
Brisbane,Kuala Lumpur,Malaysia,2015
Brisbane,Kuala Lumpur,Malaysia,2017
Brisbane,Kuala Lumpur,Malaysia,2018
Brisbane,Kuala Lumpur,Malaysia,2019
Brisbane,Kuala Lumpur,Malaysia,2020
Brisbane,Kuala Lumpur,Malaysia,2021
Brisbane,Kuala Lumpur,Malaysia,2022
Brisbane,Lima,Peru,2020
Brisbane,London,United Kingdom,2009
Brisbane,London,United Kingdom,2010
Brisbane,London,United Kingdom,2012
Brisbane,Los Angeles,United States of America,2003
Brisbane,Los Angeles,United States of America,2004
Brisbane,Los Angeles,United States of America,2005
Brisbane,Los Angeles,United States of America,2006
Brisbane,Los Angeles,United States of America,2007
Brisbane,Los Angeles,United States of America,2008
Brisbane,Los Angeles,United States of America,2009
Brisbane,Los Angeles,United States of America,2010
Brisbane,Los Angeles,United States of America,2011
Brisbane,Los Angeles,United States of America,2012
Brisbane,Los Angeles,United States of America,2013
Brisbane,Los Angeles,United States of America,2014
Brisbane,Los Angeles,United States of America,2015
Brisbane,Los Angeles,United States of America,2016
Brisbane,Los Angeles,United States of America,2017
Brisbane,Los Angeles,United States of America,2018
Brisbane,Los Angeles,United States of America,2019
Brisbane,Los Angeles,United States of America,2020
Brisbane,Los Angeles,United States of America,2021
Brisbane,Los Angeles,United States of America,2022
Brisbane,Majuro,Marshall Islands,2006
Brisbane,Majuro,Marshall Islands,2007
Brisbane,Manila,Philippines,2003
Brisbane,Manila,Philippines,2004
Brisbane,Manila,Philippines,2005
Brisbane,Manila,Philippines,2006
Brisbane,Manila,Philippines,2007
Brisbane,Manila,Philippines,2008
Brisbane,Manila,Philippines,2009
Brisbane,Manila,Philippines,2010
Brisbane,Manila,Philippines,2011
Brisbane,Manila,Philippines,2012
Brisbane,Manila,Philippines,2013
Brisbane,Manila,Philippines,2014
Brisbane,Manila,Philippines,2015
Brisbane,Manila,Philippines,2016
Brisbane,Manila,Philippines,2017
Brisbane,Manila,Philippines,2018
Brisbane,Manila,Philippines,2019
Brisbane,Manila,Philippines,2020
Brisbane,Manila,Philippines,2021
Brisbane,Manila,Philippines,2022
Brisbane,Medan,Indonesia,2021
Brisbane,Munda,Solomon Is.,2019
Brisbane,Munda,Solomon Is.,2020
Brisbane,Nadi,Fiji,2003
Brisbane,Nadi,Fiji,2004
Brisbane,Nadi,Fiji,2005
Brisbane,Nadi,Fiji,2006
Brisbane,Nadi,Fiji,2007
Brisbane,Nadi,Fiji,2008
Brisbane,Nadi,Fiji,2009
Brisbane,Nadi,Fiji,2010
Brisbane,Nadi,Fiji,2011
Brisbane,Nadi,Fiji,2012
Brisbane,Nadi,Fiji,2013
Brisbane,Nadi,Fiji,2014
Brisbane,Nadi,Fiji,2015
Brisbane,Nadi,Fiji,2016
Brisbane,Nadi,Fiji,2017
Brisbane,Nadi,Fiji,2018
Brisbane,Nadi,Fiji,2019
Brisbane,Nadi,Fiji,2020
Brisbane,Nadi,Fiji,2021
Brisbane,Nadi,Fiji,2022
Brisbane,Nagoya,Japan,2008
Brisbane,Nauru,Nauru,2003
Brisbane,Nauru,Nauru,2004
Brisbane,Nauru,Nauru,2005
Brisbane,Nauru,Nauru,2006
Brisbane,Nauru,Nauru,2007
Brisbane,Nauru,Nauru,2008
Brisbane,Nauru,Nauru,2009
Brisbane,Nauru,Nauru,2010
Brisbane,Nauru,Nauru,2011
Brisbane,Nauru,Nauru,2012
Brisbane,Nauru,Nauru,2013
Brisbane,Nauru,Nauru,2014
Brisbane,Nauru,Nauru,2015
